,date,time,current_team,opponent,game_result,team_score,opp_score,spread_result,spread,ou_result,ou_line,year
922,2014-09-21,1:02,MIA,LAC,L,10,22,L,-2.5,U,45.5,2014
923,2014-09-28,1:02,MIA,HOU,L,17,23,L,3.0,U,42.5,2014
924,2014-10-5,1:02,MIA,DET,W,17,14,W,6.5,U,43,2014
925,2014-10-12,1:02,MIA,NWE,L,22,37,L,-1.0,O,44,2014
926,2014-10-19,1:02,MIA,MIN,W,17,16,L,-6.5,U,43.5,2014
927,2014-10-26,1:02,MIA,NYJ,W,43,23,W,3.0,O,40.5,2014
928,2014-11-9,1:02,MIA,KAN,L,13,17,L,-1.5,U,42,2014
929,2014-11-13,8:26,MIA,MIA,L,9,22,L,5.0,U,42,2014
930,2014-11-24,7:05,MIA,NYJ,W,38,3,W,-2.5,U,42.5,2014
931,2014-11-30,1:02,MIA,CLE,W,26,10,W,-3.0,U,42,2014
932,2014-12-7,4:04,MIA,DEN,L,17,24,W,9.5,U,47.5,2014
933,2014-12-14,1:02,MIA,GBP,W,21,13,W,4.0,U,50,2014
934,2014-12-21,4:25,MIA,LVR,L,24,26,L,-6.5,O,42,2014
935,2014-12-28,1:02,MIA,NWE,W,17,9,W,6.5,U,44,2014
936,2013-09-8,1:02,MIA,NWE,L,21,23,W,10.5,U,50.5,2013
937,2013-09-15,1:02,MIA,CAR,W,24,23,W,3.5,O,43.5,2013
938,2013-09-22,4:25,MIA,NYJ,L,20,27,L,2.5,O,41,2013
939,2013-09-29,1:02,MIA,BAL,W,23,20,W,4.0,U,45,2013
940,2013-10-3,8:28,MIA,CLE,L,24,37,L,4.0,O,40.5,2013
941,2013-10-13,1:02,MIA,CIN,L,24,27,W,6.0,O,41,2013
942,2013-10-20,1:02,MIA,MIA,W,23,21,W,6.5,O,43.5,2013
943,2013-10-27,1:02,MIA,NOS,L,17,35,L,10.5,O,48.5,2013
944,2013-11-3,1:02,MIA,KAN,L,13,23,L,4.5,U,40.5,2013
945,2013-11-10,1:02,MIA,PIT,L,10,23,L,2.5,U,42.5,2013
946,2013-11-17,1:02,MIA,NYJ,W,37,14,W,2.0,O,39.5,2013
947,2013-12-1,4:04,MIA,ATL,L,31,34,L,-4.5,O,48,2013
948,2013-12-8,1:02,MIA,TBB,L,6,27,L,2.5,U,42.5,2013
949,2013-12-15,1:02,MIA,JAX,W,27,20,W,-4.0,O,43,2013
950,2013-12-22,1:02,MIA,MIA,W,19,0,W,1.5,U,42,2013
951,2013-12-29,4:25,MIA,NWE,L,20,34,L,7.0,O,46.5,2013
952,2012-09-9,1:02,MIA,NYJ,L,28,48,L,3.0,O,39,2012
953,2012-09-16,1:02,MIA,KAN,W,35,17,W,-3.0,O,45,2012
954,2012-09-23,1:02,MIA,CLE,W,24,14,W,-3.0,U,45,2012
955,2012-09-30,1:02,MIA,NWE,L,28,52,L,4.5,O,48.5,2012
956,2012-10-7,4:25,MIA,SFF,L,3,45,L,10.0,O,45,2012
957,2012-10-14,4:04,MIA,ARI,W,19,16,W,5.0,U,44,2012
958,2012-10-21,1:02,MIA,TEN,L,34,35,L,-4.5,O,46.5,2012
959,2012-11-4,1:02,MIA,HOU,L,9,21,L,11.5,U,48,2012
960,2012-11-11,1:02,MIA,NWE,L,31,37,W,13.5,O,54,2012
961,2012-11-15,8:28,MIA,MIA,W,19,14,W,-2.5,U,46,2012
962,2012-11-25,1:02,MIA,IND,L,13,20,L,3.0,U,51.5,2012
963,2012-12-2,1:02,MIA,JAX,W,34,18,W,-6.0,O,42,2012
964,2012-12-9,1:02,MIA,LAR,L,12,15,L,-3.0,U,42.5,2012
965,2012-12-16,4:04,MIA,SEA,L,17,50,L,5.0,O,44,2012
966,2012-12-23,1:02,MIA,MIA,L,10,24,L,5.0,U,43,2012
967,2012-12-30,1:02,MIA,NYJ,W,28,9,W,-3.5,U,41,2012
968,2011-09-11,1:06,MIA,KAN,W,41,7,W,3.5,O,40,2011
969,2011-09-18,1:02,MIA,LVR,W,38,35,L,-4.0,O,41,2011
970,2011-09-25,1:02,MIA,NWE,W,34,31,W,7.5,O,54.5,2011
971,2011-10-2,1:02,MIA,CIN,L,20,23,L,-3.0,P,43,2011
972,2011-10-9,1:04,MIA,PHI,W,31,24,W,3.0,O,53,2011
973,2011-10-16,1:02,MIA,NYG,L,24,27,P,3.0,O,49,2011
974,2011-10-30,4:04,MIA,WAS,W,23,0,W,-4.0,U,46.5,2011
975,2011-11-6,1:02,MIA,NYJ,L,11,27,L,-2.5,U,45,2011
976,2011-11-13,1:02,MIA,DAL,L,7,44,L,4.5,O,49,2011
977,2011-11-20,1:02,MIA,MIA,L,8,35,L,3.0,U,44,2011
978,2011-11-27,1:02,MIA,NYJ,L,24,28,W,9.5,O,42.5,2011
979,2011-12-4,1:02,MIA,TEN,L,17,23,L,-1.0,U,44,2011
980,2011-12-11,4:15,MIA,LAC,L,10,37,L,7.0,U,49,2011
981,2011-12-18,1:02,MIA,MIA,L,23,30,L,-1.5,O,40.5,2011
982,2011-12-24,1:02,MIA,DEN,W,40,14,W,3.0,O,43.5,2011
983,2012-01-1,1:02,MIA,NWE,L,21,49,L,10.0,O,50,2012
984,2010-09-12,1:02,MIA,MIA,L,10,15,L,3.0,U,39,2010
985,2010-09-19,1:02,MIA,GBP,L,7,34,L,13.0,U,43,2010
986,2010-09-26,1:02,MIA,NWE,L,30,38,W,14.5,O,43,2010
987,2010-10-3,1:02,MIA,NYJ,L,14,38,L,6.0,O,37,2010
988,2010-10-10,1:02,MIA,JAX,L,26,36,L,-2.5,O,41.5,2010
989,2010-10-24,1:02,MIA,BAL,L,34,37,W,12.5,O,40,2010
990,2010-10-31,1:08,MIA,KAN,L,10,13,W,7.0,U,46,2010
991,2010-11-7,1:02,MIA,CHI,L,19,22,P,3.0,U,41.5,2010
992,2010-11-14,1:02,MIA,DET,W,14,12,W,-1.5,U,45,2010
993,2010-11-21,1:02,MIA,CIN,W,49,31,W,4.0,O,41,2010
994,2010-11-28,1:02,MIA,PIT,L,16,19,W,7.0,U,44,2010
995,2010-12-5,1:05,MIA,MIN,L,14,38,L,5.0,O,44,2010
996,2010-12-12,1:02,MIA,CLE,W,13,6,W,0.0,U,39,2010
997,2010-12-19,1:02,MIA,MIA,W,17,14,W,5.5,U,40,2010
998,2010-12-26,1:02,MIA,NWE,L,3,34,L,9.0,U,45.5,2010
999,2011-01-2,1:02,MIA,NYJ,L,7,38,L,1.5,O,38,2011
1000,2021-09-12,1:00,CIN,PIT,L,16,23,L,-6.5,U,48.5,2021
1001,2021-09-19,1:00,CIN,MIA,W,35,0,W,-3.5,U,47.5,2021
1002,2021-09-26,1:00,CIN,WAS,W,43,21,W,-7.0,O,45.5,2021
1003,2021-10-3,1:00,CIN,HOU,W,40,0,W,-17.5,U,47,2021
1004,2021-10-10,8:20,CIN,KAN,W,38,20,W,2.5,O,56.5,2021
1005,2021-10-18,8:15,CIN,TEN,L,31,34,L,-6.0,O,53.5,2021
1006,2021-10-31,1:00,CIN,MIA,W,26,11,W,-14.0,U,49,2021
1007,2021-11-7,1:00,CIN,JAX,L,6,9,L,-14.5,U,48.5,2021
1008,2021-11-14,1:00,CIN,NYJ,W,45,17,W,-13.0,O,47.5,2021
1009,2021-11-21,1:00,CIN,IND,L,15,41,L,-7.0,O,49.5,2021
1010,2021-11-25,8:20,CIN,NOS,W,31,6,W,-6.5,U,45,2021
1011,2021-12-6,8:15,CIN,NWE,L,10,14,L,-2.5,U,41,2021
1012,2021-12-12,4:25,CIN,TBB,L,27,33,L,3.5,O,54.5,2021
1013,2021-12-19,1:00,CIN,CAR,W,31,14,W,-14.5,O,43,2021
1014,2021-12-26,1:00,CIN,NWE,W,33,21,W,1.5,O,43.5,2021
1015,2022-01-2,1:00,CIN,ATL,W,29,15,L,-14.5,P,44,2022
1016,2022-01-9,1:00,CIN,NYJ,W,27,10,W,-16.5,U,40.5,2022
1017,2022-01-15,8:15,CIN,NWE,W,47,17,W,-4.0,O,44,2022
1018,2022-01-23,6:30,CIN,KAN,L,36,42,L,2.0,O,54.5,2022
1019,2020-09-13,1:00,CIN,NYJ,W,27,17,W,-6.5,O,39.5,2020
1020,2020-09-20,1:00,CIN,MIA,W,31,28,L,-5.5,O,42.5,2020
1021,2020-09-27,1:00,CIN,LAR,W,35,32,W,-1.5,O,46.5,2020
1022,2020-10-4,4:25,CIN,LVR,W,30,23,W,-3.0,P,53,2020
1023,2020-10-13,7:00,CIN,TEN,L,16,42,L,-3.0,O,52,2020
1024,2020-10-19,5:00,CIN,KAN,L,17,26,L,5.5,U,55,2020
1025,2020-10-25,1:00,CIN,NYJ,W,18,10,L,-9.5,U,47,2020
1026,2020-11-1,1:00,CIN,NWE,W,24,21,L,-4.0,O,41,2020
1027,2020-11-8,1:00,CIN,SEA,W,44,34,W,3.0,O,55.5,2020
1028,2020-11-15,4:04,CIN,ARI,L,30,32,W,3.0,O,56,2020
1029,2020-11-29,1:00,CIN,LAC,W,27,17,W,-4.5,U,51.5,2020
1030,2020-12-7,8:15,CIN,SFF,W,34,24,W,1.5,O,48,2020
1031,2020-12-13,8:20,CIN,PIT,W,26,15,W,-2.0,U,48.5,2020
1032,2020-12-19,4:30,CIN,DEN,W,48,19,W,-5.5,O,49,2020
1033,2020-12-28,8:15,CIN,NWE,W,38,9,W,-7.0,U,47.5,2020
1034,2021-01-3,1:00,CIN,MIA,W,56,26,W,3.5,O,43,2021
1035,2021-01-9,1:05,CIN,IND,W,27,24,L,-7.0,O,50.5,2021
1036,2021-01-16,8:15,CIN,BAL,W,17,3,W,-2.5,U,49.5,2021
1037,2021-01-24,6:40,CIN,KAN,L,24,38,L,3.0,O,55,2021
1038,2019-09-8,1:00,CIN,NYJ,W,17,16,W,2.5,U,41,2019
1039,2019-09-15,1:00,CIN,NYG,W,28,14,W,-1.0,U,44.5,2019
1040,2019-09-22,1:00,CIN,CIN,W,21,17,L,-5.5,U,43.5,2019
1041,2019-09-29,1:00,CIN,NWE,L,10,16,W,7.0,U,41.5,2019
1042,2019-10-6,1:00,CIN,TEN,W,14,7,W,3.5,U,39.5,2019
1043,2019-10-20,1:00,CIN,MIA,W,31,21,L,-17.0,O,42.5,2019
1044,2019-10-27,1:00,CIN,PHI,L,13,31,L,-1.0,O,39.5,2019
1045,2019-11-3,1:00,CIN,WAS,W,24,9,W,-10.5,U,37,2019
1046,2019-11-10,1:00,CIN,CLE,L,16,19,P,3.0,U,42,2019
1047,2019-11-17,1:00,CIN,MIA,W,37,20,W,-7.0,O,41.5,2019
1048,2019-11-24,1:00,CIN,DEN,W,20,3,W,-3.5,U,37,2019
1049,2019-11-28,4:30,CIN,DAL,W,26,15,W,6.5,U,46.5,2019
1050,2019-12-8,1:00,CIN,BAL,L,17,24,L,6.5,U,44,2019
1051,2019-12-15,8:20,CIN,PIT,W,17,10,W,1.0,U,37,2019
1052,2019-12-21,4:30,CIN,NWE,L,17,24,P,7.0,O,38.5,2019
1053,2019-12-29,1:00,CIN,NYJ,L,6,13,L,1.5,U,37,2019
1054,2020-01-4,4:35,CIN,HOU,L,19,22,L,2.5,U,43,2020
1055,2018-09-9,1:00,CIN,BAL,L,3,47,L,7.5,O,39,2018
1056,2018-09-16,1:00,CIN,LAC,L,20,31,L,7.5,O,41.5,2018
1057,2018-09-23,1:00,CIN,MIN,W,27,6,W,16.5,U,41,2018
1058,2018-09-30,1:00,CIN,GBP,L,0,22,L,8.5,U,43.5,2018
1059,2018-10-7,1:00,CIN,TEN,W,13,12,W,6.0,U,38.5,2018
1060,2018-10-14,1:00,CIN,HOU,L,13,20,W,10.5,U,40.5,2018
1061,2018-10-21,1:00,CIN,IND,L,5,37,L,7.0,U,43.5,2018
1062,2018-10-29,8:15,CIN,NWE,L,6,25,L,13.5,U,44.5,2018
1063,2018-11-4,1:00,CIN,CHI,L,9,41,L,10.5,O,38,2018
1064,2018-11-11,1:00,CIN,NYJ,W,41,10,W,7.0,O,38,2018
1065,2018-11-25,1:00,CIN,JAX,W,24,21,W,3.0,O,36.5,2018
1066,2018-12-2,1:00,CIN,MIA,L,17,21,L,3.5,U,40,2018
1067,2018-12-9,1:00,CIN,NYJ,L,23,27,L,-4.5,O,37,2018
1068,2018-12-16,1:00,CIN,DET,W,14,13,L,-2.5,U,40,2018
1069,2018-12-23,1:00,CIN,NWE,L,12,24,W,13.5,U,45,2018
1070,2018-12-30,1:00,CIN,MIA,W,42,17,W,-5.5,O,39.5,2018
1071,2017-09-10,1:00,CIN,NYJ,W,21,12,W,-7.0,U,42,2017
1072,2017-09-17,1:00,CIN,CAR,L,3,9,W,6.5,U,43,2017
1073,2017-09-24,1:00,CIN,DEN,W,26,16,W,3.5,O,40,2017
1074,2017-10-1,1:00,CIN,ATL,W,23,17,W,8.0,U,48,2017
1075,2017-10-8,1:00,CIN,CIN,L,16,20,L,3.0,U,39,2017
1076,2017-10-22,1:00,CIN,TBB,W,30,27,P,-3.0,O,46.5,2017
1077,2017-10-29,1:00,CIN,LVR,W,34,14,W,-2.0,O,47,2017
1078,2017-11-2,8:24,CIN,NYJ,L,21,34,L,-3.0,O,42,2017
1079,2017-11-12,1:00,CIN,NOS,L,10,47,L,2.0,O,48.5,2017
1080,2017-11-19,4:04,CIN,LAC,L,24,54,L,7.0,O,41.5,2017
1081,2017-11-26,1:00,CIN,KAN,W,16,10,W,8.5,U,47,2017
1082,2017-12-3,1:00,CIN,NWE,L,3,23,L,7.5,U,48.5,2017
1083,2017-12-10,1:00,CIN,IND,W,13,7,W,-3.5,U,36.5,2017
1084,2017-12-17,1:00,CIN,MIA,W,24,16,W,-3.5,O,39.5,2017
1085,2017-12-24,1:00,CIN,NWE,L,16,37,L,11.0,O,47.5,2017
1086,2017-12-31,4:25,CIN,MIA,W,22,16,W,-2.5,U,41.5,2017
1087,2018-01-7,1:05,CIN,JAX,L,3,10,W,8.0,U,39.5,2018
1088,2016-09-11,1:04,CIN,BAL,L,7,13,L,3.0,U,44.5,2016
1089,2016-09-15,8:26,CIN,NYJ,L,31,37,L,-1.0,O,40.5,2016
1090,2016-09-25,1:02,CIN,ARI,W,33,18,W,5.0,O,48,2016
1091,2016-10-2,1:02,CIN,NWE,W,16,0,W,3.5,U,41,2016
1092,2016-10-9,4:25,CIN,LAR,W,30,19,W,-2.5,O,41.5,2016
1093,2016-10-16,1:02,CIN,SFF,W,45,16,W,-7.5,O,44,2016
1094,2016-10-23,1:02,CIN,MIA,L,25,28,L,-2.5,O,46,2016
1095,2016-10-30,1:02,CIN,NWE,L,25,41,L,5.5,O,48,2016
1096,2016-11-7,8:30,CIN,SEA,L,25,31,L,5.5,O,43.5,2016
1097,2016-11-20,1:00,CIN,CIN,W,16,12,W,2.5,U,48,2016
1098,2016-11-27,1:00,CIN,JAX,W,28,21,L,-8.5,O,43.5,2016
1099,2016-12-4,4:04,CIN,LVR,L,24,38,L,3.0,O,48.5,2016
1100,2016-12-11,1:00,CIN,PIT,L,20,27,L,1.0,O,45.5,2016
1101,2016-12-18,1:00,CIN,CLE,W,33,13,W,-10.5,O,43,2016
1102,2016-12-24,1:00,CIN,MIA,L,31,34,L,-4.5,O,44.5,2016
1103,2017-01-1,1:00,CIN,NYJ,L,10,30,L,-3.5,U,43,2017
1104,2015-09-13,1:02,CIN,IND,W,27,14,W,2.5,U,45,2015
1105,2015-09-20,1:02,CIN,NWE,L,32,40,L,1.0,O,44,2015
1106,2015-09-27,4:25,CIN,MIA,W,41,14,W,2.5,O,41.5,2015
1107,2015-10-4,1:02,CIN,NYG,L,10,24,L,-5.5,U,45.5,2015
1108,2015-10-11,1:02,CIN,TEN,W,14,13,P,-1.0,U,42,2015
1109,2015-10-18,1:02,CIN,CIN,L,21,34,L,3.0,O,43,2015
1110,2015-10-25,8:35,CIN,JAX,L,31,34,L,-4.0,O,41,2015
1111,2015-11-8,1:02,CIN,MIA,W,33,17,W,-3.0,O,44,2015
1112,2015-11-12,8:26,CIN,NYJ,W,22,17,W,2.5,U,42.5,2015
1113,2015-11-23,8:30,CIN,NWE,L,13,20,P,7.0,U,48,2015
1114,2015-11-29,1:02,CIN,KAN,L,22,30,L,5.5,O,41.5,2015
1115,2015-12-6,1:02,CIN,HOU,W,30,21,W,-3.5,O,41.5,2015
1116,2015-12-13,1:00,CIN,PHI,L,20,23,L,1.0,U,47,2015
1117,2015-12-20,1:02,CIN,WAS,L,25,35,L,-2.5,O,44,2015
1118,2015-12-27,1:02,CIN,DAL,W,16,6,W,-6.5,U,42,2015
1119,2016-01-3,1:02,CIN,NYJ,W,22,17,W,3.0,U,42,2016
1120,2014-09-7,1:00,CIN,CHI,W,23,20,W,7.0,U,47,2014
1121,2014-09-14,1:02,CIN,MIA,W,29,10,W,-1.5,U,42.5,2014
1122,2014-09-21,1:02,CIN,LAC,L,10,22,L,-2.5,U,45.5,2014
1123,2014-09-28,1:02,CIN,HOU,L,17,23,L,3.0,U,42.5,2014
1124,2014-10-5,1:02,CIN,DET,W,17,14,W,6.5,U,43,2014
1125,2014-10-12,1:02,CIN,NWE,L,22,37,L,-1.0,O,44,2014
1126,2014-10-19,1:02,CIN,MIN,W,17,16,L,-6.5,U,43.5,2014
1127,2014-10-26,1:02,CIN,NYJ,W,43,23,W,3.0,O,40.5,2014
1128,2014-11-9,1:02,CIN,KAN,L,13,17,L,-1.5,U,42,2014
1129,2014-11-13,8:26,CIN,MIA,L,9,22,L,5.0,U,42,2014
1130,2014-11-24,7:05,CIN,NYJ,W,38,3,W,-2.5,U,42.5,2014
1131,2014-11-30,1:02,CIN,CLE,W,26,10,W,-3.0,U,42,2014
1132,2014-12-7,4:04,CIN,DEN,L,17,24,W,9.5,U,47.5,2014
1133,2014-12-14,1:02,CIN,GBP,W,21,13,W,4.0,U,50,2014
1134,2014-12-21,4:25,CIN,LVR,L,24,26,L,-6.5,O,42,2014
1135,2014-12-28,1:02,CIN,NWE,W,17,9,W,6.5,U,44,2014
1136,2013-09-8,1:02,CIN,NWE,L,21,23,W,10.5,U,50.5,2013
1137,2013-09-15,1:02,CIN,CAR,W,24,23,W,3.5,O,43.5,2013
1138,2013-09-22,4:25,CIN,NYJ,L,20,27,L,2.5,O,41,2013
1139,2013-09-29,1:02,CIN,BAL,W,23,20,W,4.0,U,45,2013
1140,2013-10-3,8:28,CIN,CLE,L,24,37,L,4.0,O,40.5,2013
1141,2013-10-13,1:02,CIN,CIN,L,24,27,W,6.0,O,41,2013
1142,2013-10-20,1:02,CIN,MIA,W,23,21,W,6.5,O,43.5,2013
1143,2013-10-27,1:02,CIN,NOS,L,17,35,L,10.5,O,48.5,2013
1144,2013-11-3,1:02,CIN,KAN,L,13,23,L,4.5,U,40.5,2013
1145,2013-11-10,1:02,CIN,PIT,L,10,23,L,2.5,U,42.5,2013
1146,2013-11-17,1:02,CIN,NYJ,W,37,14,W,2.0,O,39.5,2013
1147,2013-12-1,4:04,CIN,ATL,L,31,34,L,-4.5,O,48,2013
1148,2013-12-8,1:02,CIN,TBB,L,6,27,L,2.5,U,42.5,2013
1149,2013-12-15,1:02,CIN,JAX,W,27,20,W,-4.0,O,43,2013
1150,2013-12-22,1:02,CIN,MIA,W,19,0,W,1.5,U,42,2013
1151,2013-12-29,4:25,CIN,NWE,L,20,34,L,7.0,O,46.5,2013
1152,2012-09-9,1:02,CIN,NYJ,L,28,48,L,3.0,O,39,2012
1153,2012-09-16,1:02,CIN,KAN,W,35,17,W,-3.0,O,45,2012
1154,2012-09-23,1:02,CIN,CLE,W,24,14,W,-3.0,U,45,2012
1155,2012-09-30,1:02,CIN,NWE,L,28,52,L,4.5,O,48.5,2012
1156,2012-10-7,4:25,CIN,SFF,L,3,45,L,10.0,O,45,2012
1157,2012-10-14,4:04,CIN,ARI,W,19,16,W,5.0,U,44,2012
1158,2012-10-21,1:02,CIN,TEN,L,34,35,L,-4.5,O,46.5,2012
1159,2012-11-4,1:02,CIN,HOU,L,9,21,L,11.5,U,48,2012
1160,2012-11-11,1:02,CIN,NWE,L,31,37,W,13.5,O,54,2012
1161,2012-11-15,8:28,CIN,MIA,W,19,14,W,-2.5,U,46,2012
1162,2012-11-25,1:02,CIN,IND,L,13,20,L,3.0,U,51.5,2012
1163,2012-12-2,1:02,CIN,JAX,W,34,18,W,-6.0,O,42,2012
1164,2012-12-9,1:02,CIN,LAR,L,12,15,L,-3.0,U,42.5,2012
1165,2012-12-16,4:04,CIN,SEA,L,17,50,L,5.0,O,44,2012
1166,2012-12-23,1:02,CIN,MIA,L,10,24,L,5.0,U,43,2012
1167,2012-12-30,1:02,CIN,NYJ,W,28,9,W,-3.5,U,41,2012
1168,2011-09-11,1:06,CIN,KAN,W,41,7,W,3.5,O,40,2011
1169,2011-09-18,1:02,CIN,LVR,W,38,35,L,-4.0,O,41,2011
1170,2011-09-25,1:02,CIN,NWE,W,34,31,W,7.5,O,54.5,2011
1171,2011-10-2,1:02,CIN,CIN,L,20,23,L,-3.0,P,43,2011
1172,2011-10-9,1:04,CIN,PHI,W,31,24,W,3.0,O,53,2011
1173,2011-10-16,1:02,CIN,NYG,L,24,27,P,3.0,O,49,2011
1174,2011-10-30,4:04,CIN,WAS,W,23,0,W,-4.0,U,46.5,2011
1175,2011-11-6,1:02,CIN,NYJ,L,11,27,L,-2.5,U,45,2011
1176,2011-11-13,1:02,CIN,DAL,L,7,44,L,4.5,O,49,2011
1177,2011-11-20,1:02,CIN,MIA,L,8,35,L,3.0,U,44,2011
1178,2011-11-27,1:02,CIN,NYJ,L,24,28,W,9.5,O,42.5,2011
1179,2011-12-4,1:02,CIN,TEN,L,17,23,L,-1.0,U,44,2011
1180,2011-12-11,4:15,CIN,LAC,L,10,37,L,7.0,U,49,2011
1181,2011-12-18,1:02,CIN,MIA,L,23,30,L,-1.5,O,40.5,2011
1182,2011-12-24,1:02,CIN,DEN,W,40,14,W,3.0,O,43.5,2011
1183,2012-01-1,1:02,CIN,NWE,L,21,49,L,10.0,O,50,2012
1184,2010-09-12,1:02,CIN,MIA,L,10,15,L,3.0,U,39,2010
1185,2010-09-19,1:02,CIN,GBP,L,7,34,L,13.0,U,43,2010
1186,2010-09-26,1:02,CIN,NWE,L,30,38,W,14.5,O,43,2010
1187,2010-10-3,1:02,CIN,NYJ,L,14,38,L,6.0,O,37,2010
1188,2010-10-10,1:02,CIN,JAX,L,26,36,L,-2.5,O,41.5,2010
1189,2010-10-24,1:02,CIN,BAL,L,34,37,W,12.5,O,40,2010
1190,2010-10-31,1:08,CIN,KAN,L,10,13,W,7.0,U,46,2010
1191,2010-11-7,1:02,CIN,CHI,L,19,22,P,3.0,U,41.5,2010
1192,2010-11-14,1:02,CIN,DET,W,14,12,W,-1.5,U,45,2010
1193,2010-11-21,1:02,CIN,CIN,W,49,31,W,4.0,O,41,2010
1194,2010-11-28,1:02,CIN,PIT,L,16,19,W,7.0,U,44,2010
1195,2010-12-5,1:05,CIN,MIN,L,14,38,L,5.0,O,44,2010
1196,2010-12-12,1:02,CIN,CLE,W,13,6,W,0.0,U,39,2010
1197,2010-12-19,1:02,CIN,MIA,W,17,14,W,5.5,U,40,2010
1198,2010-12-26,1:02,CIN,NWE,L,3,34,L,9.0,U,45.5,2010
1199,2011-01-2,1:02,CIN,NYJ,L,7,38,L,1.5,O,38,2011
1200,2021-09-12,1:00,IND,PIT,L,16,23,L,-6.5,U,48.5,2021
1201,2021-09-19,1:00,IND,MIA,W,35,0,W,-3.5,U,47.5,2021
1202,2021-09-26,1:00,IND,WAS,W,43,21,W,-7.0,O,45.5,2021
1203,2021-10-3,1:00,IND,HOU,W,40,0,W,-17.5,U,47,2021
1204,2021-10-10,8:20,IND,KAN,W,38,20,W,2.5,O,56.5,2021
1205,2021-10-18,8:15,IND,TEN,L,31,34,L,-6.0,O,53.5,2021
1206,2021-10-31,1:00,IND,MIA,W,26,11,W,-14.0,U,49,2021
1207,2021-11-7,1:00,IND,JAX,L,6,9,L,-14.5,U,48.5,2021
1208,2021-11-14,1:00,IND,NYJ,W,45,17,W,-13.0,O,47.5,2021
1209,2021-11-21,1:00,IND,IND,L,15,41,L,-7.0,O,49.5,2021
1210,2021-11-25,8:20,IND,NOS,W,31,6,W,-6.5,U,45,2021
1211,2021-12-6,8:15,IND,NWE,L,10,14,L,-2.5,U,41,2021
1212,2021-12-12,4:25,IND,TBB,L,27,33,L,3.5,O,54.5,2021
1213,2021-12-19,1:00,IND,CAR,W,31,14,W,-14.5,O,43,2021
1214,2021-12-26,1:00,IND,NWE,W,33,21,W,1.5,O,43.5,2021
1215,2022-01-2,1:00,IND,ATL,W,29,15,L,-14.5,P,44,2022
1216,2022-01-9,1:00,IND,NYJ,W,27,10,W,-16.5,U,40.5,2022
1217,2022-01-15,8:15,IND,NWE,W,47,17,W,-4.0,O,44,2022
1218,2022-01-23,6:30,IND,KAN,L,36,42,L,2.0,O,54.5,2022
1219,2020-09-13,1:00,IND,NYJ,W,27,17,W,-6.5,O,39.5,2020
1220,2020-09-20,1:00,IND,MIA,W,31,28,L,-5.5,O,42.5,2020
1221,2020-09-27,1:00,IND,LAR,W,35,32,W,-1.5,O,46.5,2020
1222,2020-10-4,4:25,IND,LVR,W,30,23,W,-3.0,P,53,2020
1223,2020-10-13,7:00,IND,TEN,L,16,42,L,-3.0,O,52,2020
1224,2020-10-19,5:00,IND,KAN,L,17,26,L,5.5,U,55,2020
1225,2020-10-25,1:00,IND,NYJ,W,18,10,L,-9.5,U,47,2020
1226,2020-11-1,1:00,IND,NWE,W,24,21,L,-4.0,O,41,2020
1227,2020-11-8,1:00,IND,SEA,W,44,34,W,3.0,O,55.5,2020
1228,2020-11-15,4:04,IND,ARI,L,30,32,W,3.0,O,56,2020
1229,2020-11-29,1:00,IND,LAC,W,27,17,W,-4.5,U,51.5,2020
1230,2020-12-7,8:15,IND,SFF,W,34,24,W,1.5,O,48,2020
1231,2020-12-13,8:20,IND,PIT,W,26,15,W,-2.0,U,48.5,2020
1232,2020-12-19,4:30,IND,DEN,W,48,19,W,-5.5,O,49,2020
1233,2020-12-28,8:15,IND,NWE,W,38,9,W,-7.0,U,47.5,2020
1234,2021-01-3,1:00,IND,MIA,W,56,26,W,3.5,O,43,2021
1235,2021-01-9,1:05,IND,IND,W,27,24,L,-7.0,O,50.5,2021
1236,2021-01-16,8:15,IND,BAL,W,17,3,W,-2.5,U,49.5,2021
1237,2021-01-24,6:40,IND,KAN,L,24,38,L,3.0,O,55,2021
1238,2019-09-8,1:00,IND,NYJ,W,17,16,W,2.5,U,41,2019
1239,2019-09-15,1:00,IND,NYG,W,28,14,W,-1.0,U,44.5,2019
1240,2019-09-22,1:00,IND,CIN,W,21,17,L,-5.5,U,43.5,2019
1241,2019-09-29,1:00,IND,NWE,L,10,16,W,7.0,U,41.5,2019
1242,2019-10-6,1:00,IND,TEN,W,14,7,W,3.5,U,39.5,2019
1243,2019-10-20,1:00,IND,MIA,W,31,21,L,-17.0,O,42.5,2019
1244,2019-10-27,1:00,IND,PHI,L,13,31,L,-1.0,O,39.5,2019
1245,2019-11-3,1:00,IND,WAS,W,24,9,W,-10.5,U,37,2019
1246,2019-11-10,1:00,IND,CLE,L,16,19,P,3.0,U,42,2019
1247,2019-11-17,1:00,IND,MIA,W,37,20,W,-7.0,O,41.5,2019
1248,2019-11-24,1:00,IND,DEN,W,20,3,W,-3.5,U,37,2019
1249,2019-11-28,4:30,IND,DAL,W,26,15,W,6.5,U,46.5,2019
1250,2019-12-8,1:00,IND,BAL,L,17,24,L,6.5,U,44,2019
1251,2019-12-15,8:20,IND,PIT,W,17,10,W,1.0,U,37,2019
1252,2019-12-21,4:30,IND,NWE,L,17,24,P,7.0,O,38.5,2019
1253,2019-12-29,1:00,IND,NYJ,L,6,13,L,1.5,U,37,2019
