,date,time,current_team,opponent,game_result,team_score,opp_score,spread_result,spread,ou_result,ou_line,year
75,2017-10-8,1:00,BUF,CIN,L,16,20,L,3.0,U,39,2017
76,2017-10-22,1:00,BUF,TBB,W,30,27,P,-3.0,O,46.5,2017
77,2017-10-29,1:00,BUF,LVR,W,34,14,W,-2.0,O,47,2017
78,2017-11-2,8:24,BUF,NYJ,L,21,34,L,-3.0,O,42,2017
79,2017-11-12,1:00,BUF,NOS,L,10,47,L,2.0,O,48.5,2017
80,2017-11-19,4:04,BUF,LAC,L,24,54,L,7.0,O,41.5,2017
81,2017-11-26,1:00,BUF,KAN,W,16,10,W,8.5,U,47,2017
82,2017-12-3,1:00,BUF,NWE,L,3,23,L,7.5,U,48.5,2017
83,2017-12-10,1:00,BUF,IND,W,13,7,W,-3.5,U,36.5,2017
84,2017-12-17,1:00,BUF,MIA,W,24,16,W,-3.5,O,39.5,2017
85,2017-12-24,1:00,BUF,NWE,L,16,37,L,11.0,O,47.5,2017
86,2017-12-31,4:25,BUF,MIA,W,22,16,W,-2.5,U,41.5,2017
87,2018-01-7,1:05,BUF,JAX,L,3,10,W,8.0,U,39.5,2018
88,2016-09-11,1:04,BUF,BAL,L,7,13,L,3.0,U,44.5,2016
89,2016-09-15,8:26,BUF,NYJ,L,31,37,L,-1.0,O,40.5,2016
90,2016-09-25,1:02,BUF,ARI,W,33,18,W,5.0,O,48,2016
91,2016-10-2,1:02,BUF,NWE,W,16,0,W,3.5,U,41,2016
92,2016-10-9,4:25,BUF,LAR,W,30,19,W,-2.5,O,41.5,2016
93,2016-10-16,1:02,BUF,SFF,W,45,16,W,-7.5,O,44,2016
94,2016-10-23,1:02,BUF,MIA,L,25,28,L,-2.5,O,46,2016
95,2016-10-30,1:02,BUF,NWE,L,25,41,L,5.5,O,48,2016
96,2016-11-7,8:30,BUF,SEA,L,25,31,L,5.5,O,43.5,2016
97,2016-11-20,1:00,BUF,CIN,W,16,12,W,2.5,U,48,2016
98,2016-11-27,1:00,BUF,JAX,W,28,21,L,-8.5,O,43.5,2016
99,2016-12-4,4:04,BUF,LVR,L,24,38,L,3.0,O,48.5,2016
100,2016-12-11,1:00,BUF,PIT,L,20,27,L,1.0,O,45.5,2016
101,2016-12-18,1:00,BUF,CLE,W,33,13,W,-10.5,O,43,2016
102,2016-12-24,1:00,BUF,MIA,L,31,34,L,-4.5,O,44.5,2016
103,2017-01-1,1:00,BUF,NYJ,L,10,30,L,-3.5,U,43,2017
104,2015-09-13,1:02,BUF,IND,W,27,14,W,2.5,U,45,2015
105,2015-09-20,1:02,BUF,NWE,L,32,40,L,1.0,O,44,2015
106,2015-09-27,4:25,BUF,MIA,W,41,14,W,2.5,O,41.5,2015
107,2015-10-4,1:02,BUF,NYG,L,10,24,L,-5.5,U,45.5,2015
108,2015-10-11,1:02,BUF,TEN,W,14,13,P,-1.0,U,42,2015
109,2015-10-18,1:02,BUF,CIN,L,21,34,L,3.0,O,43,2015
110,2015-10-25,8:35,BUF,JAX,L,31,34,L,-4.0,O,41,2015
111,2015-11-8,1:02,BUF,MIA,W,33,17,W,-3.0,O,44,2015
112,2015-11-12,8:26,BUF,NYJ,W,22,17,W,2.5,U,42.5,2015
113,2015-11-23,8:30,BUF,NWE,L,13,20,P,7.0,U,48,2015
114,2015-11-29,1:02,BUF,KAN,L,22,30,L,5.5,O,41.5,2015
115,2015-12-6,1:02,BUF,HOU,W,30,21,W,-3.5,O,41.5,2015
116,2015-12-13,1:00,BUF,PHI,L,20,23,L,1.0,U,47,2015
117,2015-12-20,1:02,BUF,WAS,L,25,35,L,-2.5,O,44,2015
118,2015-12-27,1:02,BUF,DAL,W,16,6,W,-6.5,U,42,2015
119,2016-01-3,1:02,BUF,NYJ,W,22,17,W,3.0,U,42,2016
120,2014-09-7,1:00,BUF,CHI,W,23,20,W,7.0,U,47,2014
121,2014-09-14,1:02,BUF,MIA,W,29,10,W,-1.5,U,42.5,2014
122,2014-09-21,1:02,BUF,LAC,L,10,22,L,-2.5,U,45.5,2014
123,2014-09-28,1:02,BUF,HOU,L,17,23,L,3.0,U,42.5,2014
124,2014-10-5,1:02,BUF,DET,W,17,14,W,6.5,U,43,2014
125,2014-10-12,1:02,BUF,NWE,L,22,37,L,-1.0,O,44,2014
126,2014-10-19,1:02,BUF,MIN,W,17,16,L,-6.5,U,43.5,2014
127,2014-10-26,1:02,BUF,NYJ,W,43,23,W,3.0,O,40.5,2014
128,2014-11-9,1:02,BUF,KAN,L,13,17,L,-1.5,U,42,2014
129,2014-11-13,8:26,BUF,MIA,L,9,22,L,5.0,U,42,2014
130,2014-11-24,7:05,BUF,NYJ,W,38,3,W,-2.5,U,42.5,2014
131,2014-11-30,1:02,BUF,CLE,W,26,10,W,-3.0,U,42,2014
132,2014-12-7,4:04,BUF,DEN,L,17,24,W,9.5,U,47.5,2014
133,2014-12-14,1:02,BUF,GBP,W,21,13,W,4.0,U,50,2014
134,2014-12-21,4:25,BUF,LVR,L,24,26,L,-6.5,O,42,2014
135,2014-12-28,1:02,BUF,NWE,W,17,9,W,6.5,U,44,2014
136,2013-09-8,1:02,BUF,NWE,L,21,23,W,10.5,U,50.5,2013
137,2013-09-15,1:02,BUF,CAR,W,24,23,W,3.5,O,43.5,2013
138,2013-09-22,4:25,BUF,NYJ,L,20,27,L,2.5,O,41,2013
139,2013-09-29,1:02,BUF,BAL,W,23,20,W,4.0,U,45,2013
140,2013-10-3,8:28,BUF,CLE,L,24,37,L,4.0,O,40.5,2013
141,2013-10-13,1:02,BUF,CIN,L,24,27,W,6.0,O,41,2013
142,2013-10-20,1:02,BUF,MIA,W,23,21,W,6.5,O,43.5,2013
143,2013-10-27,1:02,BUF,NOS,L,17,35,L,10.5,O,48.5,2013
144,2013-11-3,1:02,BUF,KAN,L,13,23,L,4.5,U,40.5,2013
145,2013-11-10,1:02,BUF,PIT,L,10,23,L,2.5,U,42.5,2013
146,2013-11-17,1:02,BUF,NYJ,W,37,14,W,2.0,O,39.5,2013
147,2013-12-1,4:04,BUF,ATL,L,31,34,L,-4.5,O,48,2013
148,2013-12-8,1:02,BUF,TBB,L,6,27,L,2.5,U,42.5,2013
149,2013-12-15,1:02,BUF,JAX,W,27,20,W,-4.0,O,43,2013
150,2013-12-22,1:02,BUF,MIA,W,19,0,W,1.5,U,42,2013
151,2013-12-29,4:25,BUF,NWE,L,20,34,L,7.0,O,46.5,2013
152,2012-09-9,1:02,BUF,NYJ,L,28,48,L,3.0,O,39,2012
153,2012-09-16,1:02,BUF,KAN,W,35,17,W,-3.0,O,45,2012
154,2012-09-23,1:02,BUF,CLE,W,24,14,W,-3.0,U,45,2012
155,2012-09-30,1:02,BUF,NWE,L,28,52,L,4.5,O,48.5,2012
156,2012-10-7,4:25,BUF,SFF,L,3,45,L,10.0,O,45,2012
157,2012-10-14,4:04,BUF,ARI,W,19,16,W,5.0,U,44,2012
158,2012-10-21,1:02,BUF,TEN,L,34,35,L,-4.5,O,46.5,2012
159,2012-11-4,1:02,BUF,HOU,L,9,21,L,11.5,U,48,2012
160,2012-11-11,1:02,BUF,NWE,L,31,37,W,13.5,O,54,2012
161,2012-11-15,8:28,BUF,MIA,W,19,14,W,-2.5,U,46,2012
162,2012-11-25,1:02,BUF,IND,L,13,20,L,3.0,U,51.5,2012
163,2012-12-2,1:02,BUF,JAX,W,34,18,W,-6.0,O,42,2012
164,2012-12-9,1:02,BUF,LAR,L,12,15,L,-3.0,U,42.5,2012
165,2012-12-16,4:04,BUF,SEA,L,17,50,L,5.0,O,44,2012
166,2012-12-23,1:02,BUF,MIA,L,10,24,L,5.0,U,43,2012
167,2012-12-30,1:02,BUF,NYJ,W,28,9,W,-3.5,U,41,2012
168,2011-09-11,1:06,BUF,KAN,W,41,7,W,3.5,O,40,2011
169,2011-09-18,1:02,BUF,LVR,W,38,35,L,-4.0,O,41,2011
170,2011-09-25,1:02,BUF,NWE,W,34,31,W,7.5,O,54.5,2011
171,2011-10-2,1:02,BUF,CIN,L,20,23,L,-3.0,P,43,2011
172,2011-10-9,1:04,BUF,PHI,W,31,24,W,3.0,O,53,2011
173,2011-10-16,1:02,BUF,NYG,L,24,27,P,3.0,O,49,2011
174,2011-10-30,4:04,BUF,WAS,W,23,0,W,-4.0,U,46.5,2011
175,2011-11-6,1:02,BUF,NYJ,L,11,27,L,-2.5,U,45,2011
